subsampleID	biosample	sequencingrun	subsamplename
N369Barcode_712-520	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-520
N369Barcode_702-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-517
N369Barcode_704-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-507
N369Barcode_718-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-508
N369Barcode_711-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-516
N369Barcode_707-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-516
N369Barcode_719-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-505
N369Barcode_705-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-510
N369Barcode_706-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-517
N369Barcode_704-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-505
N369Barcode_705-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-516
N369Barcode_701-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-510
N369Barcode_721-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-522
N369Barcode_714-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-521
N369Barcode_711-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-521
N369Barcode_706-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-508
N369Barcode_701-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-513
N369Barcode_720-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-513
N369Barcode_719-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-506
N369Barcode_703-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-521
N369Barcode_722-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-522
N369Barcode_720-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-505
N369Barcode_701-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-521
N369Barcode_706-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-502
N369Barcode_715-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-517
N369Barcode_703-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-517
N369Barcode_715-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-515
N369Barcode_715-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-516
N369Barcode_702-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-506
N369Barcode_703-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-516
N369Barcode_718-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-510
N369Barcode_711-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-507
N369Barcode_704-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-502
N369Barcode_722-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-508
N369Barcode_706-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-513
N369Barcode_707-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-503
N369Barcode_721-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-505
N369Barcode_705-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-515
N369Barcode_720-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-518
N369Barcode_702-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-508
N369Barcode_715-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-521
N369Barcode_711-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-517
N369Barcode_715-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-506
N369Barcode_721-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-517
N369Barcode_707-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-513
N369Barcode_719-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-517
N369Barcode_712-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-502
N369Barcode_721-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-513
N369Barcode_722-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-503
N369Barcode_720-520	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-520
N369Barcode_722-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-515
N369Barcode_711-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-510
